veh_trip_dtl_id,veh_trip_id,seq_no,time,lat,lng,alt,bearing,speed,accuracy,drv_distance,drv_duration,drv_speed,create_ts
26518766,25670,164,"2017-03-24 07:51:51",22.70091166666667,114.17592666666665,48.9,136.2,9.05602,5.15152,70959,156217,33,"2017-03-24 07:51:52"
26518767,25670,165,"2017-03-24 07:51:52",22.700859999999995,114.17598833333335,48.6,135.71,8.34416,4.81818,71461,156765,34,"2017-03-24 07:51:52"
26518798,25670,166,"2017-03-24 07:51:53",22.700811666666663,114.17605166666665,48.4,130.76,8.45637,4.87879,72981,158343,36,"2017-03-24 07:52:07"
26518799,25670,167,"2017-03-24 07:51:54",22.700768333333333,114.17612833333332,48,124.31,9.15948,5.21212,73957,159299,38,"2017-03-24 07:52:07"
26518800,25670,168,"2017-03-24 07:51:55",22.700741666666666,114.17622166666666,47.4,114.97,9.66237,5.42424,74821,160100,40,"2017-03-24 07:52:07"
26518801,25670,169,"2017-03-24 07:51:56",22.700711666666667,114.176315,46.8,112.23,10.3408,3.8,75750,160920,42,"2017-03-24 07:52:07"
26518802,25670,170,"2017-03-24 07:51:57",22.700685,114.17641166666665,46.4,109.85,10.4519,3.84,77164,162128,41,"2017-03-24 07:52:07"
26518803,25670,171,"2017-03-24 07:51:58",22.700663333333335,114.17651333333333,46.1,107.65,10.489,3.88,78479,163274,40,"2017-03-24 07:52:07"
26518804,25670,172,"2017-03-24 07:51:59",22.700636666666664,114.17661333333332,45.9,108.44,10.8406,3.98,79665,164309,42,"2017-03-24 07:52:07"
26518805,25670,173,"2017-03-24 07:52:00",22.700609999999998,114.17671666666665,45.6,108.83,11.1252,4.06,80261,164827,42,"2017-03-24 07:52:07"
26518806,25670,174,"2017-03-24 07:52:01",22.700578333333336,114.17682,45.2,110.43,10.5745,3.92,82054,166352,43,"2017-03-24 07:52:07"
26518807,25670,175,"2017-03-24 07:52:02",22.70055,114.17691833333335,44.8,110.37,10.0314,3.76,83151,167269,42,"2017-03-24 07:52:07"
26518808,25670,176,"2017-03-24 07:52:03",22.700521666666667,114.17702166666668,44.2,109.56,10.4494,3.9,84023,168013,41,"2017-03-24 07:52:07"
26518809,25670,177,"2017-03-24 07:52:04",22.700491666666668,114.177125,43.7,108.78,10.7371,4,84975,168845,40,"2017-03-24 07:52:07"
26518810,25670,178,"2017-03-24 07:52:05",22.70046166666667,114.17722666666666,43.1,108.64,10.7428,4.02,86402,170127,39,"2017-03-24 07:52:07"
